1.6185,0.54914,0.73939,0.12316,0.14588
1.4044,0.20979,0.54347,0.70523,0.50494
2.2725,0.67504,0.64809,0.96735,0.50679
0.83816,0.07787,0.027686,0.55914,0.95123
1.6317,0.62206,0.26683,0.064281,0.1406
3.8711,0.90057,0.71323,0.62224,0.39977
2.8971,0.78861,0.45422,0.45653,0.51756
2.5799,0.82828,0.51647,0.67764,0.93314
2.475,0.82635,0.69068,0.26341,0.73637
0.81776,0.33236,0.11663,0.54294,0.16492
1.0949,0.012813,0.46159,0.22623,0.85482
1.4388,0.28052,0.04415,0.18641,0.53675
1.4494,0.052424,0.59615,0.20416,0.93362
1.339,0.64136,0.098033,0.45477,0.29271
1.1179,0.66701,0.77891,0.076179,0.077987
4.0868,0.86566,0.082845,0.99559,0.66184
0.89185,0.66318,0.91417,0.77388,0.16721
2.9053,0.82906,0.7645,0.67311,0.52928
2.7335,0.50774,0.44233,0.92887,0.71954
3.0787,0.89537,0.44263,0.13825,0.80494
2.4258,0.49138,0.6958,0.47629,0.27303
0.51978,0.21415,0.63514,0.60268,0.19973
0.8272,0.15369,0.28426,0.10088,0.47394
2.0801,0.54016,0.069092,0.50522,0.86503
2.1111,0.63412,0.61109,0.72017,0.060807
1.2096,0.22479,0.76293,0.70228,0.53985
0.26043,0.023354,0.50359,0.0077276,0.30818
2.1234,0.65602,0.95246,0.052715,0.7307
1.3783,0.73022,0.50734,0.28145,0.23489
1.4124,0.35971,0.94142,0.055866,0.4511
1.878,0.073626,0.64556,0.58432,0.55624
2.4598,0.69692,0.99154,0.25633,0.48196
1.2951,0.44981,0.25115,0.67538,0.21207
1.4222,0.20388,0.71091,0.3733,0.25364
1.895,0.99319,0.74856,0.32464,0.065873
1.2417,0.41879,0.38694,0.65198,0.098177
2.1596,0.029739,0.079986,0.94731,0.91085
1.9655,0.11121,0.70368,0.80609,0.18067
1.7557,0.64193,0.27838,0.75086,0.31476
2.7158,0.11923,0.14647,0.8444,0.85934
