-2.7937,2.4004,0.58909,-1.8212
-1.8751,1.6961,-0.39334,-3.6179
-1.6838,0.66497,-2.0752,-0.54986
-3.1764,-0.88941,-2.5318,0.29286
-2.2286,-0.16288,-1.2921,-1.0035
0.5702,-1.0102,-3.2295,0.41124
-3.036,0.634,-1.0106,-5.5992
-0.80005,1.4305,-1.6082,-1.6325
-2.2955,0.38782,-0.15873,-3.8267
-0.61378,2.8413,-0.86385,-0.73947
-0.96867,3.2158,-0.97598,-2.7463
-0.61151,0.25833,-1.6243,-1.6686
-1.0073,1.3391,0.64267,-2.7781
-3.2474,-0.054612,-0.0098752,-1.374
-2.1018,0.8379,0.42479,-3.2552
-1.7118,1.2041,-1.0122,-0.8018
-1.3538,1.9004,-1.2286,-0.9481
-2.0626,0.70363,-2.9696,-2.1901
-2.3263,1.5041,-3.1224,-1.2802
-2.1457,0.57664,-0.47819,-4.1384
-2.6996,0.4765,-1.3407,0.67698
-1.9077,-0.70932,-2.2728,-1.5103
-4.1928,1.0469,-0.072105,-4.1652
-0.75786,1.5573,-1.2886,-0.63757
-2.286,0.15194,-0.85022,-1.3641
-3.1986,0.60736,-1.7345,-1.9465
0.38932,0.15639,-0.21387,0.39263
-1.0598,1.8176,-2.8842,-2.3743
-0.024703,2.0794,-0.88586,0.45818
-0.63768,0.97119,-2.1406,-1.2727
-2.6923,-0.52114,-0.14372,-2.355
-1.8439,0.49399,-0.75124,-1.7225
-1.853,-1.4277,0.37854,-3.4579
-1.6415,-1.0119,-0.50237,-2.0809
-1.0775,-0.033308,-1.809,-2.0142
-0.80436,1.7941,-0.87433,-3.4678
-1.4598,2.0281,-0.13981,-1.7409
