2.4492,0.55366,0.024565,0.52622,0.17477,0.37084
3.6775,0.883,0.71123,0.75416,0.39052,0.10122
4.0735,0.38521,0.95045,0.39162,0.39385,0.22696
2.5406,0.7633,0.24123,0.72472,0.18776,0.57851
1.0462,0.23173,0.11148,0.27255,0.35728,0.50158
2.0501,0.85285,0.03764,0.14202,0.29807,0.28763
1.8348,0.47637,0.12883,0.19449,0.099994,0.53199
5.1887,0.64525,0.96792,0.28445,0.55938,0.83898
2.1903,0.24532,0.51662,0.11673,0.1779,0.34935
3.5827,0.70632,0.59246,0.061064,0.13494,0.6559
3.8423,0.61935,0.73528,0.72007,0.20338,0.75118
3.5117,0.94038,0.53135,0.99509,0.011433,0.34735
6.3307,0.17027,0.94816,0.27203,0.85461,0.9901
4.3812,0.66697,0.38123,0.91678,0.60838,0.60371
1.9114,0.56147,0.56533,0.049312,0.033798,0.0041463
1.7558,0.5829,0.10505,0.772,0.081637,0.99177
4.9918,0.081475,0.63035,0.77043,0.82454,0.6769
3.5747,0.26491,0.36898,0.62563,0.69489,0.67552
2.8437,0.60701,0.71007,0.65023,0.093101,0.023344
4.7134,0.41265,0.71761,0.73464,0.15639,0.82071
1.0394,0.54698,0.058757,0.21823,0.80959,0.30241
5.8019,0.76553,0.89323,0.18096,0.77793,0.15013
3.9566,0.21332,0.93152,0.43652,0.19924,0.27984
4.1429,0.61072,0.85552,0.092508,0.73126,0.33318
3.1213,0.55306,0.18638,0.76576,0.83613,0.30273
3.8014,0.64736,0.31306,0.44233,0.94794,0.51811
4.0263,0.43616,0.42344,0.12811,0.22549,0.78872
3.8076,0.77938,0.40268,0.28258,0.60922,0.33751
1.7134,0.1144,0.10014,0.57369,0.038287,0.59151
3.3468,0.32353,0.27644,0.96257,0.53234,0.56531
1.8176,0.9673,0.3767,0.68378,0.48599,0.22243
6.7775,0.86215,0.9936,0.51052,0.48315,0.77772
3.0896,0.87113,0.42723,0.73451,0.0058949,0.40488
2.2511,0.27218,0.26934,0.58758,0.070014,0.17475
3.0213,0.53708,0.04273,0.013662,0.56831,0.30551
4.7833,0.52271,0.012889,0.40193,0.96698,0.80394
3.0543,0.21867,0.015411,0.51225,0.76823,0.91413
3.4788,0.36862,0.09988,0.032424,0.97605,0.86129
3.8887,0.65026,0.63638,0.48787,0.23632,0.92637
3.7766,0.27866,0.048008,0.93112,0.34567,0.80349
5.0472,0.76795,0.90996,0.22451,0.85528,0.41479
1.2282,0.14403,0.39525,0.74206,0.069253,0.3097
3.6351,0.57694,0.29669,0.56164,0.55518,0.34315
3.6155,0.93959,0.50106,0.1084,0.67195,0.49053
3.5386,0.075242,0.43839,0.65941,0.49474,0.84486
1.5894,0.55058,0.058999,0.67548,0.654,0.10282
4.8274,0.86365,0.89209,0.22956,0.20414,0.56326
3.7394,0.25509,0.99112,0.58433,0.18443,0.25328
3.3106,0.281,0.13982,0.97477,0.85933,0.12174
1.5526,0.67792,0.70366,0.21837,0.02304,0.10569
3.2439,0.16441,0.68368,0.73863,0.23,0.69539
6.503,0.33351,0.93172,0.94495,0.77823,0.87837
2.3799,0.23501,0.284,0.044266,0.44914,0.98208
4.6046,0.77566,0.45164,0.38431,0.52178,0.93862
5.1939,0.43205,0.87657,0.74481,0.75723,0.49997
3.2131,0.38061,0.19783,0.93953,0.64782,0.57566
4.1056,0.64323,0.57238,0.16534,0.75061,0.50669
3.1075,0.71462,0.40104,0.35043,0.66785,0.94879
3.2996,0.91752,0.41207,0.58695,0.41675,0.038288
3.3796,0.30877,0.18888,0.3072,0.11722,0.17864
4.3309,0.37476,0.69782,0.86694,0.31452,0.65373
3.4026,0.89923,0.70336,0.55596,0.12805,0.18958
5.3416,0.71291,0.89124,0.98228,0.70382,0.088376
4.5826,0.94464,0.16189,0.23203,0.68428,0.44626
1.8104,0.35575,0.26572,0.85431,0.040065,0.30455
5.0247,0.59876,0.41966,0.4147,0.87349,0.47643
4.5515,0.47715,0.95164,0.35826,0.65041,0.34934
3.9339,0.022021,0.71847,0.57129,0.97608,0.37205
2.9346,0.20028,0.1292,0.36289,0.21537,0.88635
4.3689,0.28597,0.91457,0.66238,0.22497,0.38994
2.5914,0.19508,0.18519,0.32132,0.61995,0.19173
1.3952,0.54187,0.29172,0.1357,0.39784,0.13475
4.8994,0.46861,0.62754,0.88271,0.53766,0.45939
1.3177,0.3469,0.06439,0.10845,0.38514,0.38287
5.5792,0.20545,0.83958,0.78971,0.25989,0.83131
4.6392,0.37632,0.88815,0.5918,0.67961,0.3018
4.7807,0.056017,0.94736,0.91505,0.72178,0.84361
2.3762,0.0010838,0.35391,0.82839,0.27794,0.94513
1.5328,0.20829,0.43636,0.00075885,0.019673,0.0039696
4.3087,0.675,0.77571,0.65979,0.68288,0.63441
4.5331,0.43188,0.74392,0.20479,0.42996,0.91481
2.099,0.98237,0.76312,0.88096,0.34216,0.0066678
2.1428,0.99492,0.55075,0.30383,0.10403,0.12732
4.3213,0.075414,0.78345,0.097685,0.22812,0.72251
3.0678,0.49443,0.842,0.088643,0.10368,0.80479
5.1744,0.98146,0.5188,0.36,0.52525,0.82559
3.5342,0.5707,0.4771,0.11899,0.0059344,0.32825
2.5629,0.35169,0.43989,0.52239,0.2107,0.32488
